id,divison,county,year,population,crime_count,crime_per_1000
11,Cavan/Monaghan Garda Division,Cavan,y2003,109139,2448,22.43011206
12,Cavan/Monaghan Garda Division,Cavan,y2004,109139,2275,20.84497751
13,Cavan/Monaghan Garda Division,Cavan,y2005,109139,2519,23.08065861
14,Cavan/Monaghan Garda Division,Cavan,y2006,120000,2479,20.65833333
15,Cavan/Monaghan Garda Division,Cavan,y2007,120000,2699,22.49166667
16,Cavan/Monaghan Garda Division,Cavan,y2008,120000,2683,22.35833333
17,Cavan/Monaghan Garda Division,Cavan,y2009,120000,2671,22.25833333
18,Cavan/Monaghan Garda Division,Cavan,y2010,120000,2962,24.68333333
19,Cavan/Monaghan Garda Division,Cavan,y2011,133666,2812,21.03751141
20,Cavan/Monaghan Garda Division,Cavan,y2012,133666,2485,18.59111517
21,Cavan/Monaghan Garda Division,Cavan,y2013,133666,2061,15.41902952
22,Cavan/Monaghan Garda Division,Cavan,y2014,133666,1022,7.645923421
11,Cavan/Monaghan Garda Division,Monaghan,y2003,109139,2448,22.43011206
12,Cavan/Monaghan Garda Division,Monaghan,y2004,109139,2275,20.84497751
13,Cavan/Monaghan Garda Division,Monaghan,y2005,109139,2519,23.08065861
14,Cavan/Monaghan Garda Division,Monaghan,y2006,120000,2479,20.65833333
15,Cavan/Monaghan Garda Division,Monaghan,y2007,120000,2699,22.49166667
16,Cavan/Monaghan Garda Division,Monaghan,y2008,120000,2683,22.35833333
17,Cavan/Monaghan Garda Division,Monaghan,y2009,120000,2671,22.25833333
18,Cavan/Monaghan Garda Division,Monaghan,y2010,120000,2962,24.68333333
19,Cavan/Monaghan Garda Division,Monaghan,y2011,133666,2812,21.03751141
20,Cavan/Monaghan Garda Division,Monaghan,y2012,133666,2485,18.59111517
21,Cavan/Monaghan Garda Division,Monaghan,y2013,133666,2061,15.41902952
22,Cavan/Monaghan Garda Division,Monaghan,y2014,133666,1022,7.645923421
12,Donegal Garda Division,Donegal,y2003,137575,2891,21.01399237
13,Donegal Garda Division,Donegal,y2004,137575,2724,19.80010903
14,Donegal Garda Division,Donegal,y2005,137575,2784,20.23623478
15,Donegal Garda Division,Donegal,y2006,147264,2917,19.80796393
16,Donegal Garda Division,Donegal,y2007,147264,3135,21.28829857
17,Donegal Garda Division,Donegal,y2008,147264,3228,21.91981747
18,Donegal Garda Division,Donegal,y2009,147264,3233,21.9537701
19,Donegal Garda Division,Donegal,y2010,147264,2744,18.63320296
20,Donegal Garda Division,Donegal,y2011,161137,2818,17.48822431
21,Donegal Garda Division,Donegal,y2012,161137,2479,15.38442443
22,Donegal Garda Division,Donegal,y2013,161137,2431,15.08654127
23,Donegal Garda Division,Donegal,y2014,161137,1204,7.471902791
13,Sligo/Leitrim Garda Division,Sligo,y2003,83999,1894,22.54788747
14,Sligo/Leitrim Garda Division,Sligo,y2004,83999,1634,19.45261253
15,Sligo/Leitrim Garda Division,Sligo,y2005,83999,1717,20.44071953
16,Sligo/Leitrim Garda Division,Sligo,y2006,89844,1933,21.51507057
17,Sligo/Leitrim Garda Division,Sligo,y2007,89844,2047,22.7839366
18,Sligo/Leitrim Garda Division,Sligo,y2008,89844,2096,23.32932639
19,Sligo/Leitrim Garda Division,Sligo,y2009,89844,2035,22.65037176
20,Sligo/Leitrim Garda Division,Sligo,y2010,89844,1831,20.37976938
21,Sligo/Leitrim Garda Division,Sligo,y2011,97191,1765,18.16011771
22,Sligo/Leitrim Garda Division,Sligo,y2012,97191,1698,17.47075346
23,Sligo/Leitrim Garda Division,Sligo,y2013,97191,1767,18.18069574
